date,feature_index,avg(band_0)
2020-01-20T00:00:00.000Z,2,0.360194645534137
2020-01-20T00:00:00.000Z,1,0.7191975060793628
2020-01-20T00:00:00.000Z,0,0.22971302484950243
2020-05-04T00:00:00.000Z,1,0.9271921061610839
2020-05-04T00:00:00.000Z,2,0.3641261379475056
2020-05-04T00:00:00.000Z,0,0.4825518630237942
2020-05-27T00:00:00.000Z,1,0.9199554818353775
2020-05-27T00:00:00.000Z,0,0.26849486761750596
2020-05-29T00:00:00.000Z,0,0.2769904252714056
2020-05-27T00:00:00.000Z,2,0.3752800026638743
2020-05-29T00:00:00.000Z,2,0.380658197453816
2020-05-29T00:00:00.000Z,1,0.9373687417275403
2020-06-23T00:00:00.000Z,0,0.44455344034672484
2020-06-23T00:00:00.000Z,1,0.9013069464913107
2020-06-23T00:00:00.000Z,2,0.359002057130116
2020-07-23T00:00:00.000Z,2,0.32319361088639365
2020-07-23T00:00:00.000Z,1,0.8656694396801703
2020-07-21T00:00:00.000Z,2,0.35183634738544367
2020-07-21T00:00:00.000Z,1,0.8540508020805402
2020-07-23T00:00:00.000Z,0,0.7866702412325891
2020-07-21T00:00:00.000Z,0,0.7719625012113571
2020-08-07T00:00:00.000Z,0,0.8485694859651911
2020-08-07T00:00:00.000Z,1,0.8890853333273071
2020-08-07T00:00:00.000Z,2,0.3220702759419805
2020-08-30T00:00:00.000Z,0,0.695951868171713
2020-09-01T00:00:00.000Z,0,0.7744660623852065
2020-08-30T00:00:00.000Z,2,
2020-08-30T00:00:00.000Z,1,0.82831104876904
2020-09-01T00:00:00.000Z,1,0.7253077243917065
2020-09-01T00:00:00.000Z,2,0.30648316709004486
2020-09-29T00:00:00.000Z,2,0.35214225593150555
2020-09-29T00:00:00.000Z,1,0.6587557314117682
2020-09-29T00:00:00.000Z,0,0.5530877200058502
2020-10-11T00:00:00.000Z,0,0.39228299212550166
2020-10-09T00:00:00.000Z,2,
2020-10-11T00:00:00.000Z,2,0.3831454740727245
2020-10-09T00:00:00.000Z,0,0.44410409599387835
2020-10-11T00:00:00.000Z,1,0.8052974843834363
2020-10-09T00:00:00.000Z,1,0.8612746012233442
2020-11-18T00:00:00.000Z,0,0.2267458590852427
2020-11-20T00:00:00.000Z,0,0.21348357469789167
2020-11-20T00:00:00.000Z,1,0.603519799401093
2020-11-20T00:00:00.000Z,2,
2020-11-18T00:00:00.000Z,2,0.36702606375722713
2020-11-18T00:00:00.000Z,1,0.6187458234026346
2020-12-13T00:00:00.000Z,0,0.48797062483239684
2020-12-13T00:00:00.000Z,1,0.6399946383367281
2020-12-13T00:00:00.000Z,2,
2021-04-04T00:00:00.000Z,0,0.15553214404790777
2021-04-04T00:00:00.000Z,1,0.7612454005717195
2021-04-04T00:00:00.000Z,2,0.3549594509714314
2020-01-05T00:00:00.000Z,2,0.3758071706055513
2020-01-05T00:00:00.000Z,1,0.6922541070415313
2020-01-05T00:00:00.000Z,0,0.11213774154114621
2020-06-21T00:00:00.000Z,0,
2020-06-21T00:00:00.000Z,1,0.7749868093014155
2020-08-27T00:00:00.000Z,0,0.7860494490875731
2020-08-27T00:00:00.000Z,1,0.8758401189623827
2020-08-27T00:00:00.000Z,2,0.33091280092502434
2021-06-03T00:00:00.000Z,0,0.20546003230447604
2021-06-03T00:00:00.000Z,1,0.8526254018696543
2021-06-03T00:00:00.000Z,2,0.35495528917264785
2021-12-20T00:00:00.000Z,0,
2021-12-20T00:00:00.000Z,2,
2020-02-22T00:00:00.000Z,1,0.6221800353751417
2020-02-22T00:00:00.000Z,0,0.22781709769882386
2020-02-22T00:00:00.000Z,2,0.3497892329137016
2020-05-07T00:00:00.000Z,0,0.3908476688912217
2020-05-07T00:00:00.000Z,2,0.3801306879415943
2020-05-07T00:00:00.000Z,1,0.9237227025891978
2020-05-09T00:00:00.000Z,2,0.3772709138435398
2020-05-09T00:00:00.000Z,1,0.92666622085233
2020-05-09T00:00:00.000Z,0,0.2191395640202155
2020-12-03T00:00:00.000Z,2,
2020-11-30T00:00:00.000Z,2,
2021-05-22T00:00:00.000Z,0,0.19788429661267057
2021-05-22T00:00:00.000Z,2,0.31347620073291993
2021-05-22T00:00:00.000Z,1,0.775884995654677
2021-07-21T00:00:00.000Z,0,
2021-07-21T00:00:00.000Z,1,
2021-07-21T00:00:00.000Z,2,0.39708389805086863
2020-02-09T00:00:00.000Z,0,0.25296895913948303
2020-02-09T00:00:00.000Z,1,0.6765815350995796
2020-02-09T00:00:00.000Z,2,0.34522220470011233
2020-04-14T00:00:00.000Z,0,0.16054517127692722
2020-04-12T00:00:00.000Z,1,0.8675134561183231
2020-04-12T00:00:00.000Z,0,0.19670623377887725
2020-04-14T00:00:00.000Z,1,0.8931682348299762
2020-04-14T00:00:00.000Z,2,0.35446491033161864
2020-04-12T00:00:00.000Z,2,0.35431483772504263
2020-05-17T00:00:00.000Z,0,0.28027063457152324
2020-05-17T00:00:00.000Z,2,0.37577489554552135
2020-05-17T00:00:00.000Z,1,0.9073727185119951
2021-02-26T00:00:00.000Z,0,0.1430329302080947
2021-02-26T00:00:00.000Z,2,0.2892797984169088
2021-02-28T00:00:00.000Z,1,0.5765781854747144
2021-02-28T00:00:00.000Z,2,0.31441867228501175
2021-02-26T00:00:00.000Z,1,0.46057283324324405
2021-02-28T00:00:00.000Z,0,0.1514357265866124
2021-08-10T00:00:00.000Z,1,0.8412951355764222
2021-08-10T00:00:00.000Z,0,0.8496788465677232
2021-08-12T00:00:00.000Z,0,0.8390616694066262
2021-08-12T00:00:00.000Z,1,0.8337481802245191
2021-08-10T00:00:00.000Z,2,0.400841182228384
2021-08-12T00:00:00.000Z,2,0.3969193277290213
2021-09-11T00:00:00.000Z,0,0.7628204393483963
2021-09-11T00:00:00.000Z,1,0.8017811522779509
2021-09-11T00:00:00.000Z,2,0.35080038150718745
2020-06-06T00:00:00.000Z,2,0.3379247716762902
2020-06-06T00:00:00.000Z,0,0.5238490544772589
2020-06-03T00:00:00.000Z,1,0.8779615916567962
2020-06-06T00:00:00.000Z,1,0.747318297624588
2020-06-03T00:00:00.000Z,2,0.33498922478909365
2020-06-03T00:00:00.000Z,0,0.26240954551465356
2020-07-06T00:00:00.000Z,1,0.8985269139395992
2020-07-06T00:00:00.000Z,2,0.3648960336522781
2020-07-08T00:00:00.000Z,1,0.905755526597281
2020-07-06T00:00:00.000Z,0,0.5034115437185082
2020-07-08T00:00:00.000Z,0,0.6263002860847217
2020-07-08T00:00:00.000Z,2,0.3569640738131801
2020-08-02T00:00:00.000Z,0,0.49220995152508323
2020-08-05T00:00:00.000Z,1,0.9030467047944419
2020-08-05T00:00:00.000Z,0,0.8717095187008543
2020-08-02T00:00:00.000Z,1,0.6787851756984946
2020-08-05T00:00:00.000Z,2,0.33049537263109563
2020-08-02T00:00:00.000Z,2,
2020-09-19T00:00:00.000Z,2,
2020-09-19T00:00:00.000Z,1,
2020-09-21T00:00:00.000Z,2,
2020-09-19T00:00:00.000Z,0,0.6284784985995938
2020-09-21T00:00:00.000Z,0,0.49835679390540133
2020-11-28T00:00:00.000Z,2,0.4084305586120367
2020-11-28T00:00:00.000Z,1,0.5957561759018427
2020-11-28T00:00:00.000Z,0,0.2158316086615375
2020-12-10T00:00:00.000Z,0,0.22280550773569624
2020-12-10T00:00:00.000Z,2,0.18642301484942436
2020-12-08T00:00:00.000Z,2,
2020-12-08T00:00:00.000Z,0,
2020-12-10T00:00:00.000Z,1,0.6281576003852073
2020-12-08T00:00:00.000Z,1,
2021-01-19T00:00:00.000Z,1,
2021-01-19T00:00:00.000Z,2,
2021-01-19T00:00:00.000Z,0,
2021-04-24T00:00:00.000Z,0,0.15444525270814874
2021-04-24T00:00:00.000Z,2,0.3528585442156287
2021-04-24T00:00:00.000Z,1,0.825737896018515
2021-05-29T00:00:00.000Z,2,0.3412964470477043
2021-06-01T00:00:00.000Z,2,0.3599485561214697
2021-06-01T00:00:00.000Z,1,0.8678392030554931
2021-06-01T00:00:00.000Z,0,0.20161668799831753
2021-05-29T00:00:00.000Z,0,0.18929809161449895
2021-05-29T00:00:00.000Z,1,0.8802391438586842
2021-06-18T00:00:00.000Z,2,0.34030625304229545
2021-06-21T00:00:00.000Z,0,0.3544290758743966
2021-06-18T00:00:00.000Z,0,0.22112917612655955
2021-06-21T00:00:00.000Z,1,0.8896299756028417
2021-06-18T00:00:00.000Z,1,0.8920801447040176
2021-06-21T00:00:00.000Z,2,0.3631079132744709
2021-07-28T00:00:00.000Z,1,
2021-07-28T00:00:00.000Z,2,
2021-07-28T00:00:00.000Z,0,
2021-08-30T00:00:00.000Z,2,0.34570325628464293
2021-08-30T00:00:00.000Z,0,0.8103670978972437
2021-09-01T00:00:00.000Z,1,0.8406783941958675
2021-09-01T00:00:00.000Z,2,0.36842605034473636
2021-09-01T00:00:00.000Z,0,0.8382806500662223
2021-08-30T00:00:00.000Z,1,0.8096092232126484
2021-11-18T00:00:00.000Z,2,0.34353827163008666
2021-11-18T00:00:00.000Z,1,0.6138190333351933
2021-11-20T00:00:00.000Z,2,0.32848697948292094
2021-11-20T00:00:00.000Z,0,0.20033028963130847
2021-11-18T00:00:00.000Z,0,0.22708865329920544
2021-11-20T00:00:00.000Z,1,0.3928010949889699
2022-11-05T00:00:00.000Z,0,0.315435641011233
2022-11-05T00:00:00.000Z,2,0.3950296119061673
2022-11-05T00:00:00.000Z,1,0.7779974169678305
2021-02-08T00:00:00.000Z,2,0.2624779867247129
2021-02-08T00:00:00.000Z,0,0.22107560040405885
2021-02-08T00:00:00.000Z,1,0.5329666373948357
2021-10-29T00:00:00.000Z,1,0.7218056868609457
2021-10-31T00:00:00.000Z,2,0.3737644623698933
2021-10-31T00:00:00.000Z,0,0.2994942103526596
2021-10-29T00:00:00.000Z,0,0.3234423070445957
